date,open,high,low,close,adjusted close,return,volume,dividend amount,ticker
10/30/2009,77.2302,81.03,74.9202,75.9,9.696,-0.023161628,191600,0,SPTM
9/30/2009,74.6898,79.5798,72.99,77.7,9.9259,0.038610847,340200,0.3464,SPTM
8/31/2009,73.3002,76.62,72,75.1398,9.5569,0.03598955,277400,0,SPTM
7/31/2009,67.7298,73.2198,63.5802,72.5298,9.2249,0.077385749,413200,0,SPTM
6/30/2009,68.76,70.14,64.95,67.32,8.5623,0.003786635,620600,0.3552,SPTM
5/29/2009,64.1202,68.1498,63.66,67.4202,8.53,0.052293951,1213300,0,SPTM
4/30/2009,57.3498,65.4798,57.0702,64.0698,8.1061,0.100101785,1107900,0,SPTM
3/31/2009,52.92,60.75,48.87,58.2402,7.3685,0.086254681,988800,0.3812,SPTM
2/27/2009,59.43,63.7698,53.7498,53.9802,6.7834,-0.100320963,906100,0,SPTM
1/30/2009,65.5302,68.2902,58.6002,60,7.5398,-0.081732819,1528700,0,SPTM
12/31/2008,62.8398,67.0002,58.6902,65.34,8.2109,0.022680849,1039500,0.4514,SPTM
11/28/2008,70.0998,72.4998,53.3502,64.3398,8.0288,-0.084128994,913400,0,SPTM
10/31/2008,86.0802,86.0802,60.0198,70.2498,8.7663,-0.212881155,1054600,0,SPTM
9/30/2008,95.0898,97.0002,79.9998,89.25,11.1372,-0.046399123,391200,0.4642,SPTM
8/29/2008,92.91,95.6502,91.1298,94.0698,11.6791,0.016201307,90300,0,SPTM
7/31/2008,92.5002,95.94,87.4902,92.5698,11.4929,-0.013747415,306600,0,SPTM
6/30/2008,101.3202,102.7302,93.0498,93.8598,11.6531,-0.076125994,276100,0.4802,SPTM
5/30/2008,100.0002,104.52,99.96,102.1002,12.6133,0.018047249,177400,0,SPTM
4/30/2008,96.63,101.49,95.8998,100.29,12.3897,0.052141274,191900,0,SPTM
3/31/2008,96,97.8798,90.5202,95.3202,11.7757,-0.00976303,575400,0.4257,SPTM
2/29/2008,99.96,100.8198,95.43,96.69,11.8918,-0.031841015,649500,0,SPTM
1/31/2008,105.8502,105.8502,91.4898,99.87,12.2829,-0.052917682,701100,0,SPTM
12/31/2007,107.1102,109.9902,103.6002,105.45,12.9692,-0.007514884,415000,0.4443,SPTM
11/30/2007,109.8498,110.1798,101.46,106.6902,13.0674,-0.041248459,574000,0,SPTM
10/31/2007,109.9998,113.1702,107.22,111.2802,13.6296,0.016815625,394700,0,SPTM
9/28/2007,106.2402,110.8098,103.89,109.44,13.4042,0.033246229,137800,0.4445,SPTM
8/31/2007,104.9598,108.0102,98.6802,106.35,12.9729,0.013824633,473700,0,SPTM
7/31/2007,109.3998,112.2198,104.6502,104.8998,12.796,-0.033096569,154700,0,SPTM
6/29/2007,111.2298,111.42,107.1702,108.4902,13.234,-0.015437265,217500,0.43,SPTM
5/31/2007,106.92,110.9502,106.41,110.6202,13.4415,0.035379212,164300,0,SPTM
4/30/2007,102.9798,108.03,102.72,106.8402,12.9822,0.040915979,107200,0,SPTM
3/30/2007,100.1202,103.9302,98.9502,102.6402,12.4719,0.011049321,138700,0.3662,SPTM
2/28/2007,104.1498,105.6702,100.7898,101.8902,12.3356,-0.018116403,97300,0,SPTM
1/31/2007,102.5502,103.77,100.8198,103.77,12.5632,0.019045456,104100,0,SPTM
12/29/2006,101.1,102.9102,100.17,101.8302,12.3284,0.01011061,73900,0.4464,SPTM
11/30/2006,98.97,101.55,97.7898,101.25,12.205,0.023136893,65000,0,SPTM
10/31/2006,95.5602,99.7302,94.8702,98.9598,11.929,0.033852181,90100,0,SPTM
9/29/2006,94.0602,95.9898,93.06,95.7198,11.5384,0.023252514,103500,0.3795,SPTM
8/31/2006,91.1802,93.9198,90.45,93.9198,11.2762,0.024652655,79600,0,SPTM
7/31/2006,92.01,92.5398,88.02,91.6602,11.0049,-0.002610185,72700,0,SPTM
6/30/2006,92.61,93.3498,88.08,91.9002,11.0337,0.003711487,114200,0.3735,SPTM
5/31/2006,95.2002,96.2802,89.91,91.9398,10.9929,-0.031291858,126700,0,SPTM
4/28/2006,94.35,95.58,93.03,94.9098,11.348,0.007528944,66300,0,SPTM
3/31/2006,93.1002,94.9998,91.9998,94.2,11.2632,0.016901408,70200,0.3421,SPTM
2/28/2006,92.88,94.0602,90.96,92.97,11.076,-0.00096512,143900,0,SPTM
1/31/2006,90.51,93.6798,89.8002,93.06,11.0867,0.032165866,94500,0,SPTM
12/30/2005,90.9798,92.2002,90,90.1602,10.7412,0.002323563,28800,0.4349,SPTM
11/30/2005,86.5398,91.6302,86.5002,90.3798,10.7163,0.039690702,68100,0,SPTM
10/31/2005,88.86,88.86,83.9802,86.9298,10.3072,-0.016188149,62300,0,SPTM
9/30/2005,88.0002,89.67,85.9902,88.3602,10.4768,0.012339237,73300,0.3338,SPTM
8/31/2005,88.9998,89.6598,85.6302,87.6102,10.3491,-0.015608949,71500,0,SPTM
7/29/2005,85.4202,89.37,85.0002,88.9998,10.5132,0.037899954,41900,0,SPTM
6/30/2005,85.08,86.85,84.8598,85.7502,10.1293,0.010313289,93600,0.3635,SPTM
5/31/2005,82.9398,85.6902,82.08,85.23,10.0259,0.038254026,138100,0,SPTM
4/29/2005,84.84,84.87,81.3,82.0902,9.6565,-0.026444731,225800,0,SPTM
3/31/2005,86.1498,87.63,83.04,84.3198,9.9188,-0.01575772,341200,0.3257,SPTM
2/28/2005,83.8998,86.49,83.8998,85.9998,10.0776,0.024896266,90500,0,SPTM
1/31/2005,85.9002,85.9398,82.8402,83.91,9.8328,-0.02361329,86200,0,SPTM
12/31/2004,83.9298,85.9998,83.5302,85.9398,10.0706,0.037404069,147600,0.6731,SPTM
11/30/2004,80.0598,84.45,80.0502,83.5002,9.7075,0.043368444,197600,0,SPTM
10/29/2004,79.6098,81,77.4,80.0298,9.304,0.012393772,238200,0,SPTM
9/30/2004,78.99,80.58,78.3798,79.05,9.1901,0.009612638,224300,0.3208,SPTM
